Time (s),System Output,ControllerOutput
2.569998,1.079077,0.023031
2.579998,1.079091,0.022631
2.589998,1.079102,0.022241
2.599998,1.079108,0.021855
2.609998,1.079111,0.021480
2.619998,1.079110,0.021108
2.629998,1.079105,0.020746
2.639998,1.079096,0.020390
2.649998,1.079084,0.020041
2.659998,1.079069,0.019697
2.669998,1.079050,0.019362
2.679998,1.079028,0.019031
2.689998,1.079002,0.018709
2.699998,1.078973,0.018391
2.709998,1.078941,0.018078
2.719998,1.078906,0.017773
2.729998,1.078868,0.017474
2.739998,1.078827,0.017180
2.749998,1.078783,0.016893
2.759998,1.078737,0.016610
2.769998,1.078687,0.016334
2.779998,1.078634,0.016062
2.789998,1.078579,0.015797
2.799998,1.078521,0.015536
2.809998,1.078461,0.015281
2.819998,1.078398,0.015030
2.829998,1.078333,0.014783
2.839998,1.078265,0.014544
2.849998,1.078195,0.014307
2.859998,1.078122,0.014077
2.869998,1.078047,0.013850
2.879998,1.077970,0.013628
2.889998,1.077891,0.013411
2.899998,1.077809,0.013198
2.909998,1.077726,0.012989
2.919998,1.077640,0.012785
2.929998,1.077552,0.012586
2.939998,1.077463,0.012389
2.949998,1.077371,0.012199
2.959998,1.077277,0.012010
2.969998,1.077182,0.011827
2.979998,1.077085,0.011645
2.989998,1.076986,0.011470
2.999998,1.076885,0.011297
3.009998,1.076783,0.011128
3.019998,1.076679,0.010963
3.029998,1.076573,0.010801
3.039998,1.076466,0.010644
3.049998,1.076357,0.010488
3.059998,1.076246,0.010338
3.069998,1.076134,0.010190
3.079998,1.076021,0.010045
3.089998,1.075906,0.009903
3.099998,1.075790,0.009765
3.109998,1.075673,0.009630
3.119998,1.075554,0.009498
3.129997,1.075434,0.009369
3.139997,1.075312,0.009242
3.149997,1.075190,0.009120
3.159997,1.075066,0.008998
3.169997,1.074941,0.008881
3.179997,1.074815,0.008767
3.189997,1.074687,0.008654
3.199997,1.074559,0.008544
3.209997,1.074429,0.008438
3.219997,1.074299,0.008334
3.229997,1.074167,0.008231
3.239997,1.074035,0.008133
